#index,mass_MeV,UltraLight_Mediator_PL_90p_UpperLimit
0,0.53,4.40340783045588E-29
1,0.5621,1.07823143103612E-29
2,0.5961,4.4173148123273E-30
3,0.6323,1.88874801786779E-30
4,0.67063,1.03860609806132E-30
5,0.71127,6.11729200413131E-31
6,0.754374,3.76236282986871E-31
7,0.8,2.55872885505299E-31
8,0.8485758,1.77921891914399E-31
9,0.9,1.22536380140987E-31
10,1,5.57588957953069E-32
11,1.6378,7.06904141426922E-34
12,2.68269,6.17985573312874E-35
13,4.39397,1.16150489621602E-35
14,7.1968,4.72864495188326E-36
15,11.78768,3.41307521901443E-36
16,19.306977,3.48720062216549E-36
17,31.62277,4.56419169267608E-36
18,51.7947,6.16304339441179E-36
19,84.8342898,9.46853353903772E-36
20,138.9495,1.45541361591239E-35
21,227.584593,2.36578710465533E-35
22,372.759372,3.72838573959033E-35
23,610.54023,6.10210454292589E-35
24,1000,9.61139252132571E-35
